Collection_Date	Field_Season	Plot	Species	Sex	Weight	Callibration
2013-07-16	2013	2	DM	F	NA	NA
2013-07-16	2013	7	DM	M	33	TRUE
2013-07-16	2013	3	DM	M	NA	NA
2013-07-16	2013	1	DM	M	NA	NA
2013-07-18	2013	3	DM	M	40	TRUE
2013-07-18	2013	7	DM	M	48	TRUE
2013-07-18	2013	4	DM	F	29	TRUE
2013-07-18	2013	6	DM	F	37	TRUE
2013-08-19	2013	8	DO	F	52	TRUE
2013-10-17	2013	3	DO	F	33	TRUE
2013-10-17	2013	3	DO	F	50	TRUE
2013-12-10	2013	9	DO	F	40	TRUE
2013-12-10	2013	1	DO	M	45	TRUE
2013-12-11	2013	8	DO	F	41	TRUE
2013-11-12	2013	9	DS	F	117	TRUE
2013-11-13	2013	11	DS	F	126	TRUE
2013-11-13	2013	17	DS	M	132	FALSE
2013-11-13	2013	14	DS	F	113	FALSE
2013-11-13	2013	11	DS	F	122	TRUE
2013-11-13	2013	4	DS	F	107	TRUE
2013-11-13	2013	4	DS	F	115	TRUE
2014-01-09	2014	1	DM	M	40	TRUE
2014-01-09	2014	1	DM	F	36	TRUE
2014-03-13	2014	1	DM	F	51	TRUE
2014-03-13	2014	1	DM	F	44	TRUE
2014-03-13	2014	1	DS	F	146	TRUE
2014-01-08	2014	2	NA	NA	NA	NA
2014-01-08	2014	2	DM	M	44	TRUE
2014-01-08	2014	2	PF	F	7	TRUE
2014-01-08	2014	2	DM	M	45	TRUE
2014-01-08	2014	2	OT	NA	NA	NA
2014-01-08	2014	2	DS	M	157	FALSE
2014-01-08	2014	2	OX	NA	NA	NA
2014-02-18	2014	2	NA	M	218	FALSE
2014-02-18	2014	2	PF	F	7	TRUE
2014-02-18	2014	2	DM	M	52	TRUE
2014-03-11	2014	3	PF	M	8	TRUE
2014-04-08	2014	3	NA	F	NA	NA
2014-05-06	2014	3	NA	NA	NA	NA
2014-05-18	2014	3	NA	F	182	TRUE
2014-06-09	2014	3	OT	F	29	TRUE
2014-07-08	2014	3	NA	F	115	TRUE
2014-07-08	2014	3	NA	M	190	TRUE
2014-01-08	2014	4	DM	F	37	TRUE
2014-01-08	2014	4	DM	M	NA	NA
2014-01-08	2014	4	DM	F	48	TRUE
2014-01-08	2014	4	DO	M	52	TRUE
2014-01-08	2014	4	OL	M	35	TRUE
